EXP;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Num lanes;AVG CarLength [m];Jam Density;N Generations;N Repeat;N Population;N MatingParents;k Selection;Mutation Probabilities;RMSE Error;MAE Error;RMSE Error - Masked;MAE Error - Masked
1;Scenario-7;test5;315-322;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.026502643214515426;0.019944991947037253;0.017121070335543342;0.00956291323939594
2;Scenario-6;test9;751-780;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.025981506086116733;0.022172312593896133;0.014748404969112129;0.0075049682071977614
3;Scenario-5;test13;794-803;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.06692313723417448;0.0540449963876939;0.044077944139691114;0.02767126495161339
4;Scenario-6;test7;589-612;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02651832268421262;0.021550299033645953;0.019672435045042083;0.010646459816461146
5;Scenario-4;test6;462-495;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.027062002599552264;0.02180781440617255;0.017074242994719557;0.009275190582298896
6;Scenario-5;test3;201-217;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.037808177753391424;0.03139746698960161;0.034757847581095916;0.024984147457140164
7;Scenario-5;test19;1147-1155;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.046962626579278605;0.03232881864434781;0.022358554862888725;0.01302667101320653
8;Scenario-5;test1;67-75;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.049881088883730794;0.037338245993253506;0.023687224782079082;0.014860187171019307
9;Scenario-7;test14;862-871;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.018114291045281648;0.01203157900744566;0.011767608117807018;0.006090639825305082
10;Scenario-4;test1;91-120;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03144209957002986;0.02198927611541297;0.028008346567959568;0.012997305601461746
11;Scenario-1;test4;261-276;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04079876910816303;0.03316874989796544;0.033559594018851065;0.023382023508103367
12;Scenario-7;test6;368-375;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02574066267952197;0.017393560213259558;0.021272337247917838;0.011000290135157598
13;Scenario-4;test13;1011-1041;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03890747459305152;0.024712132253615744;0.014896806310885387;0.008630035295395572
14;Scenario-2;test12;745-757;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04111394599680284;0.030594064770243127;0.036388198128166196;0.022629724726591506
15;Scenario-5;test4;295-303;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.011883246665114979;0.004227565920261717;0.007328619223865889;0.0018305099018192036
16;Scenario-2;test11;681-697;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03966730546329878;0.03111371328584141;0.03658358039691138;0.024016967037294373
17;Scenario-7;test13;789-796;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.016170132525179876;0.009839374492077594;0.012401222171338754;0.005917223436342718
18;Scenario-4;test7;561-577;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04757335854830367;0.037792451104265934;0.04316403167951605;0.029882914061167817
19;Scenario-5;test0;3-7;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.01731666977503725;0.010612150154426913;0.011598866650466852;0.005445298090702025
20;Scenario-1;test0;21-36;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02246237781895846;0.013811747139736761;0.019749139991148724;0.01005088446438638
21;Scenario-4;test15;1133-1158;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.035976654667850494;0.023722513994549135;0.016991206969544474;0.009907647230902148
22;Scenario-1;test9;561-576;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04811844580037931;0.03576488269125472;0.04238225466328217;0.02698905363396803
23;Scenario-6;test14;1138-1163;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02491204279124347;0.021682509442476166;0.020533815558668123;0.014631153406722431
24;Scenario-5;test6;398-407;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03428272706762772;0.02442726752755616;0.02913556219851453;0.016712532313946423
25;Scenario-5;test17;1028-1037;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.05580279205681349;0.040841356461336895;0.026250339518700108;0.01742113506486937
26;Scenario-6;test3;232-259;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02762998066236427;0.023955510352295064;0.019603562030678187;0.012114388132036516
27;Scenario-5;test5;354-363;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.011266128422850389;0.0033951103935239203;0.007037960941991838;0.0013839827012526531
28;Scenario-2;test0;21-36;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.031227401563651922;0.024109902242741656;0.02973055344144559;0.02027202955987393
29;Scenario-3;test2;174-201;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04359609627680838;0.030283059352190164;0.019772183476701777;0.013588802008920414
30;Scenario-2;test16;981-998;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.041714029879944624;0.03467134856226854;0.03723960500657518;0.027317434273326516
31;Scenario-6;test5;411-434;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.025469763588044553;0.020654166843889137;0.015526920316297628;0.008243057636827027
32;Scenario-2;test6;381-397;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04098860951793319;0.03398728743113326;0.038214338947459583;0.027901986535546056
33;Scenario-1;test11;686-720;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.039998525524371054;0.03028437574874083;0.03178046681591458;0.01578418046683196
34;Scenario-3;test8;630-660;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.022198791914450667;0.017218668794081387;0.017567155423723668;0.008266457544347372
35;Scenario-7;test11;673-680;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02165119978154899;0.015010504205118866;0.020305182519881;0.011365881731721133
36;Scenario-2;test15;925-938;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.038711972977031044;0.032004683845365284;0.03545996011938688;0.024321421900336346
37;Scenario-5;test18;1087-1094;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03204438085687862;0.02266943436537083;0.01990410363592938;0.010501898710551644
38;Scenario-2;test8;501-517;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04790101799830903;0.038907296953923746;0.04489580724657846;0.03188239297337864
39;Scenario-2;test7;441-456;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.044489783013248574;0.035385552319956624;0.0416099048016296;0.028780374692661065
40;Scenario-7;test15;916-924;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02303272079611336;0.015511091191729673;0.01715786094583933;0.00818000789132162
41;Scenario-3;test11;884-909;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.019677898316754497;0.013556388041069806;0.010524170061894602;0.005195036189619391
42;Scenario-5;test10;607-615;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.040905943947734516;0.02738000140220136;0.02486589502925524;0.012536610398871297
43;Scenario-2;test14;861-877;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04495859255358472;0.03462121801883406;0.042047452856655024;0.027515751056414767
44;Scenario-2;test3;201-217;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04275633165671559;0.033929818542477695;0.040742306943885274;0.028370975242853074
45;Scenario-5;test15;921-937;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.047170834539130464;0.03802022445725743;0.040426737167421935;0.02824512875277843
46;Scenario-4;test14;1071-1100;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03997902892442919;0.025656532594167024;0.01564532066470988;0.009276946563309131
47;Scenario-7;test2;126-133;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02465812554662901;0.016856190343490025;0.020752846690921922;0.010792263144334428
48;Scenario-6;test11;921-937;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.027326864691911146;0.02262554115052772;0.02424871000970225;0.01703202756556978
49;Scenario-3;test10;805-818;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.052804364733002755;0.0415523899328938;0.04854185383307468;0.032409952893459215
50;Scenario-6;test6;512-540;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.029405585570392804;0.025700535943711713;0.018758695234616256;0.009854583250467513
51;Scenario-3;test4;351-377;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03410292574958982;0.02376185497184932;0.016369021541791845;0.01013319459539822
52;Scenario-6;test0;21-36;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02781040363827124;0.022365148568833856;0.024228867361261845;0.016259015335319052
53;Scenario-2;test13;801-817;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04456401579280704;0.035671395853182596;0.040761521051620085;0.028148078293385257
54;Scenario-4;test11;838-865;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.051596467027225104;0.038757146338465574;0.021963401337940166;0.015655771260957317
55;Scenario-3;test1;114-141;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04807711261211216;0.032730212990332665;0.017393879909943667;0.010569871423870397
56;Scenario-3;test5;400-424;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.024655853546653297;0.016792194977075636;0.017869154110765194;0.007452833175481417
57;Scenario-4;test5;414-442;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.038898381775193704;0.027032944791804733;0.01844313038164985;0.01163392158301881
58;Scenario-6;test12;985-997;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.022529169465265772;0.015642410698823994;0.018460010293445094;0.009945333505809542
59;Scenario-4;test8;642-670;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.022492431186204132;0.016707284637238928;0.016894861634502146;0.008175238502083968
60;Scenario-6;test8;681-696;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.0282183401241166;0.02284254908312954;0.024653267312669497;0.01660826570037109
61;Scenario-2;test9;561-576;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04662225764688802;0.03842603960220113;0.04257408279477338;0.030332975905605263
62;Scenario-2;test4;261-276;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04292014265969806;0.03565709167483449;0.039130693140105866;0.027762659070587895
63;Scenario-5;test14;852-860;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.06673370919916281;0.051504485078705635;0.03146128371240154;0.019222227685064805
64;Scenario-2;test10;621-637;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.045658137665976734;0.035608999636969174;0.042366662218179627;0.028315428097590616
65;Scenario-1;test17;1041-1056;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.039548861338778205;0.032881032819251754;0.03593965420484925;0.025459905707071594
66;Scenario-4;test2;167-193;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02743039813614173;0.019816812549313074;0.014854031671834238;0.00815217709026355
67;Scenario-6;test13;1063-1090;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02642582977905016;0.021645275253970083;0.014781278321206626;0.008118283118737432
68;Scenario-7;test3;187-195;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.021517091918476814;0.015280704477034683;0.015659457488377358;0.008518233345216095
69;Scenario-6;test10;821-852;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.025497587099248754;0.02258363003127458;0.017676171351305833;0.010473785637709676
70;Scenario-4;test0;21-36;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03976198077216666;0.032284226203881564;0.03393904479747682;0.02311765059248984
71;Scenario-5;test11;669-677;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.05312444789333767;0.03873400316132585;0.024026118622832385;0.014765228689682938
72;Scenario-5;test12;726-733;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04475883610909087;0.03189164959502151;0.02165444378760791;0.013515898768976114
73;Scenario-3;test0;21-36;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.011589877563910077;0.006401522707981635;0.009867803766083764;0.004795477238481889
74;Scenario-4;test3;268-300;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.03823136467569836;0.028913828126624318;0.030465290717782027;0.014142279306091018
75;Scenario-6;test1;91-120;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.02997736686253822;0.026591245119695704;0.019934681991973496;0.011224746576219474
76;Scenario-3;test12;941-964;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.017640805152960567;0.012212780738611137;0.01102880867603095;0.00511050386635341
77;Scenario-3;test13;1008-1034;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.025134977214030983;0.016549746236424946;0.012949526331930474;0.006583258003069274
78;Scenario-1;test16;981-996;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04731874647467977;0.037399497951788055;0.04483875733631595;0.030735896132201443
79;Scenario-1;test6;381-395;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.0445002780537743;0.03421519863065765;0.04203105608178902;0.028989267141538037
80;Scenario-4;test10;773-800;20;3;4.5;0.6666666666666666;150;5;800;200;5;0.75-0.1;0.04314382248501903;0.028033149205340495;0.017011787481347566;0.010028635025200381
