Scenario;Car Flow;Car Density;Car Speed;Probe Time;Probe Distance;Probe Speed
Scenario-1_test0_21-36;0.16297999999999999;0.016666666666666666;9.7788;15.0;96.96000000000001;6.464
Scenario-1_test1_81-96;0.20880000000000004;0.05;4.176000000000001;15.0;90.82;6.054666666666666
Scenario-1_test10_621-637;0.27826249999999997;0.081875;3.398625954198473;16.0;96.26;6.01625
Scenario-1_test11_686-720;0.23090294117647062;0.04058823529411765;5.688913043478261;34.0;98.17;2.8873529411764705
Scenario-1_test12_741-757;0.23721249999999997;0.07875;3.012222222222222;16.0;95.64999999999999;5.9781249999999995
Scenario-1_test13_801-817;0.2731375;0.078125;3.4961599999999997;16.0;98.71000000000001;6.1693750000000005
Scenario-1_test14_861-876;0.2655133333333333;0.08266666666666667;3.2118548387096775;15.0;91.66;6.110666666666666
Scenario-1_test15_925-938;0.28170769230769227;0.07076923076923076;3.980652173913043;13.0;93.19;7.168461538461538
Scenario-1_test16_981-996;0.24582666666666667;0.08066666666666666;3.047438016528926;15.0;89.28;5.952
Scenario-1_test17_1041-1056;0.2858866666666667;0.07933333333333334;3.603613445378151;15.0;95.05;6.336666666666667
Scenario-1_test18_1101-1117;0.24735;0.08625;2.8678260869565215;16.0;94.83;5.926875
Scenario-1_test19_1161-1177;0.27037500000000003;0.08875;3.0464788732394372;16.0;92.78999999999999;5.7993749999999995
Scenario-1_test2_141-157;0.22903750000000003;0.060625;3.777938144329897;16.0;95.89;5.993125
Scenario-1_test3_201-217;0.2637625;0.0825;3.197121212121212;16.0;95.25999999999999;5.953749999999999
Scenario-1_test4_261-276;0.26612;0.07;3.8017142857142856;15.0;91.25;6.083333333333333
Scenario-1_test5_321-336;0.24391333333333337;0.06266666666666666;3.8922340425531923;15.0;93.18;6.212000000000001
Scenario-1_test6_381-395;0.2540571428571429;0.07285714285714286;3.4870588235294124;14.0;88.74000000000001;6.338571428571429
Scenario-1_test7_441-456;0.2772866666666667;0.082;3.3815447154471547;15.0;93.66;6.244
Scenario-1_test8_501-517;0.332075;0.0375;8.855333333333334;16.0;94.3;5.89375
Scenario-1_test9_561-576;0.18069333333333334;0.05733333333333333;3.1516279069767443;15.0;92.57;6.171333333333333
Scenario-2_test0_21-36;0.3351533333333333;0.062;5.405698924731182;15.0;95.36;6.357333333333333
Scenario-2_test1_81-96;0.27895333333333333;0.08133333333333333;3.4297540983606556;15.0;90.86;6.057333333333333
Scenario-2_test10_621-637;0.25995624999999994;0.080625;3.2242635658914724;16.0;96.56;6.035
Scenario-2_test11_681-697;0.25799375;0.083125;3.103684210526316;16.0;97.3;6.08125
Scenario-2_test12_745-757;0.28415833333333335;0.0725;3.919425287356322;12.0;89.99000000000001;7.499166666666667
Scenario-2_test13_801-817;0.23928750000000001;0.080625;2.967906976744186;16.0;93.8;5.8625
Scenario-2_test14_861-877;0.274325;0.083125;3.3001503759398494;16.0;94.41999999999999;5.901249999999999
Scenario-2_test15_925-938;0.28369999999999995;0.07846153846153846;3.6157843137254897;13.0;94.53;7.271538461538461
Scenario-2_test16_981-998;0.2710235294117647;0.07705882352941176;3.5170992366412213;17.0;93.32;5.489411764705882
Scenario-2_test17_1041-1056;0.28194666666666673;0.082;3.438373983739838;15.0;89.19000000000001;5.946000000000001
Scenario-2_test18_1101-1116;0.24257999999999996;0.08666666666666667;2.7989999999999995;15.0;94.11;6.274
Scenario-2_test19_1161-1177;0.27411875;0.08625;3.1781884057971017;16.0;95.17999999999999;5.9487499999999995
Scenario-2_test2_141-157;0.26661874999999996;0.074375;3.584789915966386;16.0;97.13000000000001;6.070625000000001
Scenario-2_test3_201-217;0.25695;0.08125;3.162461538461539;16.0;94.27000000000001;5.891875000000001
Scenario-2_test4_261-276;0.2672266666666666;0.08666666666666667;3.083384615384615;15.0;89.62;5.974666666666667
Scenario-2_test5_321-336;0.27615333333333336;0.08333333333333333;3.313840000000001;15.0;97.97;6.531333333333333
Scenario-2_test6_381-397;0.26363749999999997;0.08125;3.2447692307692306;16.0;98.25;6.140625
Scenario-2_test7_441-456;0.2672333333333333;0.08533333333333333;3.131640625;15.0;98.57;6.571333333333333
Scenario-2_test8_501-517;0.26606874999999997;0.0875;3.040785714285714;16.0;95.76;5.985
Scenario-2_test9_561-576;0.2493666666666667;0.08733333333333333;2.855343511450382;15.0;92.14;6.142666666666667
Scenario-3_test0_21-36;0.09476666666666667;0.005333333333333333;17.76875;15.0;98.17;6.544666666666667
Scenario-3_test1_114-141;0.22150740740740743;0.03888888888888889;5.695904761904762;27.0;93.72999999999999;3.471481481481481
Scenario-3_test10_805-818;0.2852307692307693;0.08;3.565384615384616;13.0;97.67999999999999;7.513846153846154
Scenario-3_test11_884-909;0.08787200000000002;0.008;10.984000000000002;25.0;90.42999999999999;3.6171999999999995
Scenario-3_test12_941-964;0.044026086956521736;0.00391304347826087;11.25111111111111;23.0;95.69;4.160434782608696
Scenario-3_test13_1008-1034;0.12884615384615383;0.015384615384615385;8.375;26.0;85.89999999999999;3.3038461538461537
Scenario-3_test14_1105-1118;0.27710769230769233;0.07846153846153846;3.531764705882354;13.0;90.85000000000001;6.988461538461539
Scenario-3_test15_1175-1199;0.20400416666666668;0.0275;7.418333333333334;24.0;98.02;4.0841666666666665
Scenario-3_test2_174-201;0.18995185185185184;0.03148148148148148;6.033764705882353;27.0;88.47;3.276666666666667
Scenario-3_test3_282-308;0.17855;0.016923076923076923;10.550681818181816;26.0;95.55;3.675
Scenario-3_test4_351-377;0.18685384615384612;0.02576923076923077;7.251044776119402;26.0;92.47;3.5565384615384614
Scenario-3_test5_400-424;0.1486666666666667;0.016666666666666666;8.920000000000002;24.0;95.27000000000001;3.969583333333334
Scenario-3_test6_478-503;0.258876;0.048;5.393249999999999;25.0;84.25999999999999;3.3703999999999996
Scenario-3_test7_571-600;0.20762758620689656;0.03379310344827586;6.144081632653061;29.0;94.92999999999999;3.273448275862069
Scenario-3_test8_630-660;0.20373000000000002;0.024666666666666667;8.259324324324325;30.0;99.37;3.3123333333333336
Scenario-3_test9_710-736;0.1767153846153846;0.023076923076923078;7.657666666666667;26.0;92.58;3.560769230769231
Scenario-4_test0_21-36;0.32038000000000005;0.06466666666666666;4.954329896907217;15.0;93.55000000000001;6.236666666666667
Scenario-4_test1_91-120;0.2170689655172414;0.03310344827586207;6.557291666666667;29.0;97.72999999999999;3.3699999999999997
Scenario-4_test10_773-800;0.2194888888888889;0.035925925925925924;6.1094845360824745;27.0;91.35000000000001;3.3833333333333337
Scenario-4_test11_838-865;0.2539814814814814;0.05;5.079629629629629;27.0;93.32000000000001;3.4562962962962964
Scenario-4_test12_931-960;0.21314827586206897;0.03413793103448276;6.243737373737374;29.0;94.94000000000001;3.273793103448276
Scenario-4_test13_1011-1041;0.20429;0.034;6.008529411764706;30.0;87.63;2.921
Scenario-4_test14_1071-1100;0.1970551724137931;0.031724137931034485;6.211521739130435;29.0;97.66999999999999;3.367931034482758
Scenario-4_test15_1133-1158;0.209;0.03;6.966666666666667;25.0;91.37;3.6548000000000003
Scenario-4_test2_167-193;0.17807307692307692;0.018846153846153846;9.448775510204081;26.0;86.81;3.338846153846154
Scenario-4_test3_268-300;0.209796875;0.03875;5.414112903225806;32.0;97.66;3.051875
Scenario-4_test4_328-360;0.21913125;0.0396875;5.521417322834646;32.0;98.13;3.0665625
Scenario-4_test5_414-442;0.22465;0.03892857142857143;5.770825688073394;28.0;87.62;3.1292857142857144
Scenario-4_test6_462-495;0.18883636363636366;0.02;9.441818181818183;33.0;96.09;2.911818181818182
Scenario-4_test7_561-577;0.254375;0.081875;3.1068702290076335;16.0;99.03;6.189375
Scenario-4_test8_642-670;0.18392142857142857;0.017857142857142856;10.2996;28.0;92.89;3.3175
Scenario-4_test9_703-727;0.16699999999999998;0.015;11.133333333333333;24.0;95.47999999999999;3.978333333333333
Scenario-5_test0_3-7;0.25135;0.015;16.756666666666668;4.0;79.48;19.87
Scenario-5_test1_67-75;0.3425;0.055;6.2272727272727275;8.0;92.45;11.55625
Scenario-5_test10_607-615;0.4130625;0.0475;8.696052631578947;8.0;94.3;11.7875
Scenario-5_test11_669-677;0.3398;0.065;5.227692307692307;8.0;82.6;10.325
Scenario-5_test12_726-733;0.3439428571428571;0.04285714285714286;8.025333333333332;7.0;91.11;13.015714285714285
Scenario-5_test13_794-803;0.2811444444444444;0.08222222222222222;3.419324324324324;9.0;91.78;10.197777777777778
Scenario-5_test14_852-860;0.309625;0.07;4.423214285714286;8.0;85.41;10.67625
Scenario-5_test15_921-937;0.2652125000000001;0.088125;3.0095035460992916;16.0;92.94000000000001;5.808750000000001
Scenario-5_test16_986-996;0.2464;0.084;2.9333333333333336;10.0;89.33;8.933
Scenario-5_test17_1028-1037;0.36234444444444447;0.057777777777777775;6.271346153846154;9.0;88.53;9.836666666666666
Scenario-5_test18_1087-1094;0.4063571428571429;0.04285714285714286;9.481666666666667;7.0;85.55;12.221428571428572
Scenario-5_test19_1147-1155;0.3956;0.05;7.912000000000001;8.0;91.75;11.46875
Scenario-5_test2_123-128;0.21151999999999999;0.022;9.614545454545453;5.0;91.25999999999999;18.252
Scenario-5_test3_201-217;0.29627499999999996;0.08;3.7034374999999997;16.0;90.66000000000001;5.666250000000001
Scenario-5_test4_295-303;0.029562500000000002;0.00375;7.883333333333334;8.0;86.35;10.79375
Scenario-5_test5_354-363;0.023544444444444444;0.0033333333333333335;7.0633333333333335;9.0;92.44999999999999;10.27222222222222
Scenario-5_test6_398-407;0.3478333333333333;0.04777777777777778;7.280232558139535;9.0;95.78;10.642222222222223
Scenario-5_test7_459-467;0.3542375;0.05;7.08475;8.0;84.55000000000001;10.568750000000001
Scenario-5_test8_494-502;0.2775625;0.08;3.46953125;8.0;85.82000000000001;10.727500000000001
Scenario-5_test9_549-556;0.37025714285714284;0.06;6.170952380952381;7.0;85.13000000000001;12.161428571428573
Scenario-6_test0_21-36;0.36243333333333333;0.028;12.944047619047618;15.0;93.55000000000001;6.236666666666667
Scenario-6_test1_91-120;0.3646965517241379;0.032758620689655175;11.132842105263157;29.0;97.98;3.3786206896551727
Scenario-6_test10_821-852;0.390374193548387;0.03;13.012473118279566;31.0;95.55;3.082258064516129
Scenario-6_test11_921-937;0.41891875;0.04125;10.155606060606061;16.0;96.09;6.005625
Scenario-6_test12_985-997;0.3144666666666666;0.02;15.723333333333331;12.0;93.64;7.803333333333334
Scenario-6_test13_1063-1090;0.3320666666666666;0.02666666666666667;12.452499999999999;27.0;91.7;3.3962962962962964
Scenario-6_test14_1138-1163;0.34935200000000005;0.024;14.556333333333335;25.0;91.81;3.6724
Scenario-6_test15_1187-1199;0.326125;0.028333333333333332;11.51029411764706;12.0;56.92000000000001;4.743333333333334
Scenario-6_test2_157-184;0.3628925925925926;0.02851851851851852;12.724805194805194;27.0;97.02;3.5933333333333333
Scenario-6_test3_232-259;0.38563703703703706;0.028888888888888888;13.34897435897436;27.0;92.14999999999999;3.4129629629629625
Scenario-6_test4_321-337;0.34806875000000004;0.028125;12.37577777777778;16.0;99.33;6.208125
Scenario-6_test5_411-434;0.4211173913043477;0.03217391304347826;13.088783783783782;23.0;96.97;4.216086956521739
Scenario-6_test6_512-540;0.3390285714285714;0.022857142857142857;14.8325;28.0;99.24000000000001;3.5442857142857145
Scenario-6_test7_589-612;0.3910347826086956;0.029565217391304348;13.226176470588234;23.0;92.41;4.017826086956521
Scenario-6_test8_681-696;0.3986600000000002;0.032;12.458125000000004;15.0;94.32000000000001;6.288
Scenario-6_test9_751-780;0.33444137931034484;0.022068965517241378;15.154375;29.0;96.24;3.318620689655172
Scenario-7_test0_3-7;0.22765000000000002;0.0125;18.212;4.0;79.48;19.87
Scenario-7_test1_63-67;0.48109999999999997;0.03;16.036666666666665;4.0;79.33;19.8325
Scenario-7_test10_613-621;0.375625;0.02125;17.676470588235293;8.0;87.44;10.93
Scenario-7_test11_673-680;0.45534285714285716;0.025714285714285714;17.70777777777778;7.0;84.43;12.061428571428573
Scenario-7_test12_725-730;0.37534;0.024;15.639166666666668;5.0;85.94;17.188
Scenario-7_test13_789-796;0.26638571428571434;0.015714285714285715;16.951818181818183;7.0;85.53;12.218571428571428
Scenario-7_test14_862-871;0.33304444444444437;0.01888888888888889;17.63176470588235;9.0;92.56;10.284444444444444
Scenario-7_test15_916-924;0.3352375;0.02;16.761875;8.0;88.71;11.08875
Scenario-7_test16_970-979;0.37527777777777777;0.021111111111111112;17.776315789473685;9.0;95.25999999999999;10.584444444444443
Scenario-7_test17_1029-1037;0.31163749999999996;0.02125;14.665294117647058;8.0;85.78999999999999;10.723749999999999
Scenario-7_test18_1094-1101;0.3144571428571428;0.02;15.72285714285714;7.0;84.1;12.014285714285714
Scenario-7_test19_1147-1154;0.43019999999999997;0.027142857142857142;15.849473684210526;7.0;87.3;12.471428571428572
Scenario-7_test2_126-133;0.4100142857142857;0.024285714285714285;16.882941176470588;7.0;90.89;12.984285714285715
Scenario-7_test3_187-195;0.3367875;0.02;16.839375;8.0;88.91000000000001;11.113750000000001
Scenario-7_test4_250-258;0.3690625;0.02375;15.539473684210526;8.0;90.0;11.25
Scenario-7_test5_315-322;0.3980142857142857;0.024285714285714285;16.388823529411766;7.0;80.58;11.51142857142857
Scenario-7_test6_368-375;0.45897142857142853;0.02857142857142857;16.064;7.0;81.76;11.680000000000001
Scenario-7_test7_428-436;0.41940000000000005;0.0275;15.250909090909092;8.0;85.22;10.6525
Scenario-7_test8_484-490;0.5124166666666666;0.03166666666666667;16.181578947368422;6.0;87.23;14.538333333333334
Scenario-7_test9_548-556;0.2922125;0.01875;15.584666666666667;8.0;90.73;11.34125
