Scenario;Car Flow;Car Density;Car Speed;Probe Time;Probe Distance;Probe Speed
Scenario-1_test0_64-70;0.11608333333333334;0.13333333333333333;0.8706250000000001;6.0;86.22;14.37
Scenario-1_test1_163-174;0.04630000000000002;0.2909090909090909;0.15915625000000005;11.0;91.55;8.322727272727272
Scenario-1_test2_265-278;0.1748846153846154;0.27615384615384614;0.6332869080779944;13.0;91.97;7.0746153846153845
Scenario-1_test3_401-417;0.45565625;0.069375;6.568018018018018;16.0;97.23;6.076875
Scenario-1_test4_501-518;0.4419235294117647;0.07176470588235294;6.157950819672131;17.0;97.87;5.7570588235294125
Scenario-1_test5_601-618;0.8100823529411764;0.12294117647058823;6.589186602870813;17.0;96.2;5.658823529411765
Scenario-1_test6_663-675;0.11017500000000004;0.245;0.4496938775510205;12.0;91.32000000000001;7.61
Scenario-1_test7_763-773;0.03566;0.304;0.11730263157894735;10.0;91.14;9.114
Scenario-1_test8_863-877;0.14455000000000004;0.225;0.6424444444444446;14.0;89.02999999999999;6.359285714285713
Scenario-1_test9_964-977;0.22514615384615388;0.20461538461538462;1.1003383458646618;13.0;86.01;6.616153846153846
Scenario-1_test10_1063-1077;0.13981428571428575;0.1657142857142857;0.8437068965517244;14.0;92.92999999999999;6.6378571428571425
Scenario-1_test11_1163-1177;0.13509285714285718;0.2057142857142857;0.6567013888888891;14.0;85.82000000000001;6.130000000000001
Scenario-2_test0_65-74;0.08320000000000002;0.22666666666666666;0.3670588235294119;9.0;89.48;9.942222222222222
Scenario-2_test1_163-188;0.20251200000000003;0.1308;1.548256880733945;25.0;77.60000000000001;3.1040000000000005
Scenario-2_test2_301-317;0.58630625;0.090625;6.469586206896552;16.0;96.22;6.01375
Scenario-2_test3_401-417;0.55363125;0.08;6.9203906250000005;16.0;96.4;6.025
Scenario-2_test4_501-574;0.26847397260273975;0.1806849315068493;1.4858680818802124;73.0;96.80000000000001;1.326027397260274
Scenario-2_test5_601-619;0.5981166666666667;0.10111111111111111;5.9154395604395615;18.0;91.11;5.0616666666666665
Scenario-2_test6_663-698;0.23191428571428577;0.146;1.5884540117416832;35.0;91.34;2.609714285714286
Scenario-2_test7_763-786;0.1824652173913044;0.1265217391304348;1.4421649484536085;23.0;91.93;3.9969565217391305
Scenario-2_test8_905-920;0.5227266666666666;0.10466666666666667;4.9942038216560505;15.0;90.00999999999999;6.000666666666666
Scenario-2_test9_1001-1019;0.5212611111111112;0.08944444444444444;5.827763975155281;18.0;98.5;5.472222222222222
Scenario-2_test10_1065-1093;0.15671785714285713;0.09785714285714285;1.6014963503649635;28.0;94.94;3.3907142857142856
Scenario-2_test11_1165-1199;0.3175352941176471;0.1661764705882353;1.9108318584070798;34.0;59.39000000000001;1.7467647058823532
Scenario-3_test0_101-119;0.8574722222222223;0.1322222222222222;6.485084033613446;18.0;98.67;5.4816666666666665
Scenario-3_test1_201-220;0.7109736842105264;0.17526315789473684;4.056606606606607;19.0;98.77;5.198421052631579
Scenario-3_test2_264-281;0.21494705882352944;0.34941176470588237;0.6151683501683503;17.0;84.07;4.945294117647059
Scenario-3_test3_365-371;0.030350000000000026;0.29;0.10465517241379318;6.0;86.61;14.435
Scenario-3_test4_501-517;0.9057437499999997;0.126875;7.138866995073889;16.0;96.89999999999999;6.0562499999999995
Scenario-3_test5_601-617;0.8140000000000001;0.179375;4.537979094076656;16.0;97.82;6.11375
Scenario-3_test6_664-678;0.13610000000000003;0.43642857142857144;0.31184942716857617;14.0;87.0;6.214285714285714
Scenario-3_test7_764-774;0.06018;0.429;0.14027972027972027;10.0;96.50999999999999;9.651
Scenario-3_test8_901-917;0.730175;0.11625;6.2810752688172045;16.0;95.91000000000001;5.994375000000001
Scenario-3_test9_965-974;0.09401111111111113;0.36444444444444446;0.25795731707317077;9.0;93.27;10.363333333333333
Scenario-3_test10_1064-1070;0.021950000000000004;0.455;0.04824175824175825;6.0;90.58999999999999;15.098333333333331
Scenario-3_test11_1164-1172;0.01671249999999999;0.46625;0.035844504021447704;8.0;89.9;11.2375
Scenario-4_test0_101-118;0.7440705882352942;0.11352941176470588;6.5539896373057;17.0;98.66;5.803529411764706
Scenario-4_test1_201-218;0.7063058823529412;0.10764705882352942;6.561311475409836;17.0;98.38;5.787058823529412
Scenario-4_test2_301-317;0.83484375;0.11625;7.181451612903226;16.0;98.4;6.15
Scenario-4_test4_501-518;0.6894823529411764;0.2088235294117647;3.301746478873239;17.0;98.02;5.765882352941176
Scenario-4_test6_663-696;0.517818181818182;0.29515151515151516;1.754414784394251;33.0;85.44;2.589090909090909
Scenario-4_test8_901-918;0.7381647058823531;0.20941176470588235;3.524943820224719;17.0;98.33;5.784117647058824
Scenario-4_test9_963-991;0.4706035714285715;0.3578571428571429;1.3150598802395213;28.0;91.97999999999999;3.2849999999999997
Scenario-4_test10_1064-1093;0.511696551724138;0.34448275862068967;1.4854054054054056;29.0;81.87;2.8231034482758623
Scenario-6_test0_63-84;0.7986571428571427;0.07142857142857142;11.181199999999999;21.0;87.82;4.181904761904762
Scenario-6_test2_301-319;0.6275166666666667;0.06;10.458611111111113;18.0;98.08;5.448888888888889
Scenario-6_test3_363-394;0.7534064516129032;0.06903225806451613;10.913831775700935;31.0;90.16;2.9083870967741934
Scenario-5_test5_571-579;0.9513499999999999;0.08875;10.719436619718309;8.0;87.1;10.8875
Scenario-6_test11_1162-1186;0.7371000000000001;0.06625;11.126037735849058;24.0;95.55000000000001;3.9812500000000006
