EXP;SimulationFolder;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Jam Density;BestRHO_C;RMSE;MAE;Simulation Type
1;Scenario-1_test0_21-36;Scenario-1;test0;21-36;8.5528819691;0.15;0.0576802407;0.0028429685041397677;0.000966734753925726;car
2;Scenario-1_test10_621-637;Scenario-1;test10;621-637;8.5528819691;0.15;0.0576802407;0.013190669688084213;0.008859384212243197;car
3;Scenario-1_test11_686-698;Scenario-1;test11;686-698;8.5528819691;0.15;0.0576802407;0.01140398239460502;0.00856356611446739;car
4;Scenario-1_test12_741-757;Scenario-1;test12;741-757;8.5528819691;0.15;0.0576802407;0.011857579942309564;0.009322604049245523;car
5;Scenario-1_test13_801-817;Scenario-1;test13;801-817;8.5528819691;0.15;0.0576802407;0.013082433241192622;0.009975597594985175;car
6;Scenario-1_test14_861-877;Scenario-1;test14;861-877;8.5528819691;0.15;0.0576802407;0.017094510442981773;0.011755281548810653;car
7;Scenario-1_test15_921-938;Scenario-1;test15;921-938;8.5528819691;0.15;0.0576802407;0.011352000083914768;0.008625539590365007;car
8;Scenario-1_test16_981-996;Scenario-1;test16;981-996;8.5528819691;0.15;0.0576802407;0.014799180917725027;0.010211900742145855;car
9;Scenario-1_test17_1041-1057;Scenario-1;test17;1041-1057;8.5528819691;0.15;0.0576802407;0.014661211095724914;0.010870103227253201;car
10;Scenario-1_test18_1101-1117;Scenario-1;test18;1101-1117;8.5528819691;0.15;0.0576802407;0.014675749047189315;0.010502832154342084;car
11;Scenario-1_test19_1161-1176;Scenario-1;test19;1161-1176;8.5528819691;0.15;0.0576802407;0.015385302407373399;0.01068967433959446;car
12;Scenario-1_test1_81-96;Scenario-1;test1;81-96;8.5528819691;0.15;0.0576802407;0.013494110741370743;0.009212205705114909;car
13;Scenario-1_test2_141-158;Scenario-1;test2;141-158;8.5528819691;0.15;0.0576802407;0.00691580106025937;0.00481844691807937;car
14;Scenario-1_test3_201-217;Scenario-1;test3;201-217;8.5528819691;0.15;0.0576802407;0.015924354244835223;0.011185160950291928;car
15;Scenario-1_test4_261-277;Scenario-1;test4;261-277;8.5528819691;0.15;0.0576802407;0.016539950262934287;0.011797095038511684;car
16;Scenario-1_test5_321-337;Scenario-1;test5;321-337;8.5528819691;0.15;0.0576802407;0.014905362512773102;0.010872530740914588;car
17;Scenario-1_test6_381-397;Scenario-1;test6;381-397;8.5528819691;0.15;0.0576802407;0.011210432591913181;0.007566356574512276;car
18;Scenario-1_test7_441-456;Scenario-1;test7;441-456;8.5528819691;0.15;0.0576802407;0.011505991487392937;0.008775378238310722;car
19;Scenario-1_test8_505-518;Scenario-1;test8;505-518;8.5528819691;0.15;0.0576802407;0.01208355742444861;0.008223628200060321;car
20;Scenario-1_test9_561-576;Scenario-1;test9;561-576;8.5528819691;0.15;0.0576802407;0.020340368420620238;0.013580210469232464;car
21;Scenario-2_test0_21-36;Scenario-2;test0;21-36;8.5528819691;0.15;0.0576802407;0.010810737917230018;0.008105161022904477;car
22;Scenario-2_test10_621-637;Scenario-2;test10;621-637;8.5528819691;0.15;0.0576802407;0.019276337794220232;0.014366971464890504;car
23;Scenario-2_test11_681-697;Scenario-2;test11;681-697;8.5528819691;0.15;0.0576802407;0.014317948291764054;0.010172293664852828;car
