Generations;0;1;2;3;4
0;-0.011793146166544862;-0.01177210046755073;-0.011636097493381469;-0.011517000810164319;-0.012111103572657163
1;-0.011330205832136838;-0.011398345118084902;-0.011636097493381469;-0.011205287096621714;-0.011731222973699003
2;-0.011264870382302443;-0.01126323324399807;-0.011340729335430164;-0.011205287096621714;-0.011313264544227456
3;-0.011200411450879738;-0.01120796075845892;-0.011289929968564986;-0.011191236759877802;-0.011313264544227456
4;-0.011140619651506058;-0.01120796075845892;-0.011210512085540561;-0.01117818197221444;-0.011257499285017555
5;-0.011140619651506058;-0.011163063006238674;-0.011174581861649852;-0.011135736651105984;-0.011154217885056297
6;-0.011130814658304348;-0.011163063006238674;-0.011156366358073334;-0.011131689162739922;-0.011130922649425697
7;-0.01112344999622693;-0.011155676553446627;-0.011133957252876477;-0.011131689162739922;-0.011118285022492633
8;-0.011119382159974513;-0.011119173453854166;-0.01111129035391108;-0.011122969617778682;-0.011117095002491164
9;-0.011119382159974513;-0.011118090060294154;-0.011111117509609825;-0.011122969617778682;-0.011114153949119389
10;-0.011119382159974513;-0.011118090060294154;-0.011111083690212237;-0.01112007367139803;-0.011113209183197916
11;-0.011119382159974513;-0.011117824661742659;-0.011111083690212237;-0.011118513348405228;-0.011113209183197916
12;-0.011118706853442784;-0.011117362187426028;-0.011110719264712389;-0.011110952369403957;-0.011113169226902163
13;-0.011118706853442784;-0.011117362187426028;-0.011110687184320869;-0.011110263706689542;-0.01111153447598223
14;-0.011118706853442784;-0.011113697743326866;-0.011109302210634726;-0.011110263706689542;-0.01111153447598223
15;-0.011116816769991185;-0.011113646620461971;-0.011109302210634726;-0.011110263706689542;-0.011109346186803436
16;-0.011113250622981125;-0.011113646620461971;-0.011108293791935335;-0.01110948213228907;-0.01110880328101858
17;-0.011112867558821108;-0.011113646620461971;-0.011108293791935335;-0.011108939233708663;-0.01110880328101858
18;-0.011109759019929388;-0.01111356110638238;-0.011108293791935335;-0.01110825416946819;-0.011108054510415775
19;-0.011109759019929388;-0.011111954800743276;-0.011107314213538111;-0.01110825416946819;-0.011108054510415775
20;-0.011109336929465596;-0.011110952814911874;-0.011107314213538111;-0.011107488565666407;-0.011108054510415775
21;-0.011108743239818482;-0.011110952814911874;-0.011107314213538111;-0.011107488565666407;-0.011108054510415775
22;-0.011108214376409128;-0.011110952814911874;-0.011107314213538111;-0.011107488565666407;-0.01110802294570249
23;-0.011108214376409128;-0.011110952814911874;-0.011106986636859878;-0.011107488565666407;-0.01110802294570249
24;-0.011108214376409128;-0.011110952814911874;-0.011106986636859878;-0.011107488565666407;-0.011107784697851845
25;-0.011108118658460512;-0.011109362630092202;-0.011106593198787875;-0.011107144927024429;-0.01110763868089029
26;-0.011108118658460512;-0.011109332019099291;-0.01110629101090692;-0.011107144927024429;-0.011107586808585363
27;-0.011108118658460512;-0.011109045217259101;-0.01110629101090692;-0.011107144927024429;-0.011107217273871563
28;-0.011108118658460512;-0.01110901471594814;-0.01110629101090692;-0.011107144927024429;-0.011107217273871563
29;-0.011108111309098818;-0.01110901471594814;-0.011106001164917632;-0.011107144927024429;-0.011107217273871563
30;-0.011108111309098818;-0.011108991574266716;-0.011105864968003028;-0.011107008597536447;-0.011107217273871563
31;-0.011108111309098818;-0.011108675177126234;-0.011105864968003028;-0.011107008597536447;-0.011107217273871563
32;-0.011105962059484257;-0.011108675177126234;-0.011105864968003028;-0.011106920907490329;-0.011107047607815928
33;-0.011105962059484257;-0.011108515431182034;-0.011105864968003028;-0.011106920907490329;-0.011107047607815928
34;-0.011105962059484257;-0.011108515431182034;-0.011105864968003028;-0.011106920907490329;-0.011107047607815928
35;-0.011105962059484257;-0.011108504280118942;-0.011105864968003028;-0.011106920907490329;-0.011107047607815928
36;-0.011105962059484257;-0.01110838804405731;-0.011105864968003028;-0.011106920907490329;-0.011107047607815928
37;-0.011105884240918932;-0.01110838804405731;-0.011105864408979068;-0.011106920907490329;-0.011107047607815928
38;-0.011105884240918932;-0.01110838804405731;-0.011105864408979068;-0.011106920907490329;-0.011107047607815928
39;-0.011105808056571269;-0.011107508614031337;-0.011105864408979068;-0.011106920907490329;-0.011106285891106467
40;-0.011105808056571269;-0.011107216201893724;-0.011105864408979068;-0.011106920907490329;-0.011106285891106467
41;-0.011105808056571269;-0.011107216201893724;-0.011105804070126277;-0.011106920907490329;-0.011106285891106467
42;-0.011105808056571269;-0.011107216201893724;-0.011105803582942565;-0.011106920907490329;-0.011106285891106467
43;-0.011105808056571269;-0.011106668648197603;-0.011105803582942565;-0.011106920907490329;-0.011105851590101322
44;-0.011105572734312537;-0.011106501752704254;-0.011105803582942565;-0.011106920907490329;-0.011105851590101322
45;-0.011105572734312537;-0.011106501752704254;-0.011105803582942565;-0.011106917214782247;-0.011105851590101322
46;-0.011105572734312537;-0.011106501752704254;-0.011105803582942565;-0.011106917214782247;-0.011105839264463527
47;-0.011105572734312537;-0.011106501752704254;-0.011105803582942565;-0.011106917214782247;-0.011105839264463527
