ID;EXP;Generation;Population;Mating Parents;Mutation;K Tournament;Avg. RMSE (140 EXP)
0;nGen100_nPop100_nMat50_tour10_mutProb0-75;100;100;50;0.75-0.25;10;0.008725537051056569
1;nGen100_nPop200_nMat100_tour10_mutProb0-75;100;200;100;0.75-0.25;10;0.008583455176766371
2;nGen100_nPop300_nMat150_tour10_mutProb0-75;100;300;150;0.75-0.25;10;0.008572341524984815
3;nGen100_nPop400_nMat200_tour10_mutProb0-75;100;400;200;0.75-0.25;10;0.008734839926374093
4;nGen100_nPop500_nMat250_tour10_mutProb0-75;100;500;250;0.75-0.25;10;0.008657194383890352
5;nGen100_nPop600_nMat300_tour10_mutProb0-75;100;600;300;0.75-0.25;10;0.008616246356993982
6;nGen100_nPop700_nMat350_tour10_mutProb0-75;100;700;350;0.75-0.25;10;0.008562780353979178
7;nGen20_nPop100_nMat50_tour10_mutProb0-75;20;100;50;0.75-0.25;10;0.009004591943617891
8;nGen20_nPop200_nMat100_tour10_mutProb0-75;20;200;100;0.75-0.25;10;0.00873640889702664
9;nGen20_nPop300_nMat150_tour10_mutProb0-75;20;300;150;0.75-0.25;10;0.00868193699256181
10;nGen20_nPop400_nMat200_tour10_mutProb0-75;20;400;200;0.75-0.25;10;0.00875466180775986
11;nGen20_nPop500_nMat250_tour10_mutProb0-75;20;500;250;0.75-0.25;10;0.00865560018797946
12;nGen20_nPop600_nMat300_tour10_mutProb0-75;20;600;300;0.75-0.25;10;0.008714446846187357
13;nGen20_nPop700_nMat350_tour10_mutProb0-75;20;700;350;0.75-0.25;10;0.008647407747242344
14;nGen20_nPop800_nMat400_tour10_mutProb0-75;20;800;400;0.75-0.25;10;0.008626516031174425
15;nGen40_nPop100_nMat50_tour10_mutProb0-75;40;100;50;0.75-0.25;10;0.008835265419310066
16;nGen40_nPop200_nMat100_tour10_mutProb0-75;40;200;100;0.75-0.25;10;0.008712941456735058
17;nGen40_nPop300_nMat150_tour10_mutProb0-75;40;300;150;0.75-0.25;10;0.008693169708426682
18;nGen40_nPop400_nMat200_tour10_mutProb0-75;40;400;200;0.75-0.25;10;0.008613584208729022
19;nGen40_nPop500_nMat250_tour10_mutProb0-75;40;500;250;0.75-0.25;10;0.008679825229598577
20;nGen40_nPop600_nMat300_tour10_mutProb0-75;40;600;300;0.75-0.25;10;0.008566117960986063
21;nGen40_nPop700_nMat350_tour10_mutProb0-75;40;700;350;0.75-0.25;10;0.008618151784907662
22;nGen40_nPop800_nMat400_tour10_mutProb0-75;40;800;400;0.75-0.25;10;0.008665879035405374
23;nGen60_nPop100_nMat50_tour10_mutProb0-75;60;100;50;0.75-0.25;10;0.008747146040425206
24;nGen60_nPop200_nMat100_tour10_mutProb0-75;60;200;100;0.75-0.25;10;0.008651794482336843
25;nGen60_nPop300_nMat150_tour10_mutProb0-75;60;300;150;0.75-0.25;10;0.008536049162283626
26;nGen60_nPop400_nMat200_tour10_mutProb0-75;60;400;200;0.75-0.25;10;0.008632631103975207
27;nGen60_nPop500_nMat250_tour10_mutProb0-75;60;500;250;0.75-0.25;10;0.008657516552771291
28;nGen60_nPop600_nMat300_tour10_mutProb0-75;60;600;300;0.75-0.25;10;0.008642705431433988
29;nGen60_nPop700_nMat350_tour10_mutProb0-75;60;700;350;0.75-0.25;10;0.008666066895763342
30;nGen60_nPop800_nMat400_tour10_mutProb0-75;60;800;400;0.75-0.25;10;0.008575411982034795
31;nGen80_nPop100_nMat50_tour10_mutProb0-75;80;100;50;0.75-0.25;10;0.008698859965469163
32;nGen80_nPop200_nMat100_tour10_mutProb0-75;80;200;100;0.75-0.25;10;0.008838817459194943
33;nGen80_nPop300_nMat150_tour10_mutProb0-75;80;300;150;0.75-0.25;10;0.008685630328579205
34;nGen80_nPop400_nMat200_tour10_mutProb0-75;80;400;200;0.75-0.25;10;0.008634627899576095
35;nGen80_nPop500_nMat250_tour10_mutProb0-75;80;500;250;0.75-0.25;10;0.00866139101449221
36;nGen80_nPop600_nMat300_tour10_mutProb0-75;80;600;300;0.75-0.25;10;0.008478603163839138
37;nGen80_nPop700_nMat350_tour10_mutProb0-75;80;700;350;0.75-0.25;10;0.008572241952313982
38;nGen80_nPop800_nMat400_tour10_mutProb0-75;80;800;400;0.75-0.25;10;0.008558515513957142
