EXP;SimulationFolder;Scenario;ProbeID;Timestamp;Free Flow Speed [m/sec];Jam Density;Opt Density;N Generations;N Repeat;N Population;N MatingParents;k Selection;Mutation Probabilities;RMSE (NonMaked);MAE (NonMaked);RMSE (Masked);MAE (Masked);CTM RMSE (Masked);CTM MAE (Masked);GAFitness;CTMFitness
1;Scenario-1_test0_21-36;Scenario-1;test0;21-36;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.033783407761598286;0.0136843065901349;0.0010724665373467075;0.00028071889915707806;0.0016009270131356712;0.00035794967172356423;-0.0013164339518648527;-0.0020908196903336655
2;Scenario-1_test10_621-637;Scenario-1;test10;621-637;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.019236223034762724;0.013984017058644972;0.007897591260713294;0.0034171604126333162;0.004214823538128395;0.002072207019799264;-0.0033873427940242264;-0.007329953905464402
3;Scenario-1_test11_686-698;Scenario-1;test11;686-698;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02465800208337356;0.017694139549150827;0.018505763879509123;0.007421444999469194;0.008447651541685872;0.0037845545065363236;-0.01110550750131622;-0.0148239693831352
4;Scenario-1_test12_741-757;Scenario-1;test12;741-757;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.020262294268055953;0.014661297163357005;0.008523508454475756;0.00492956565462386;0.008340147071150038;0.004637060139728462;-0.009568508260265483;-0.01234305600077513
5;Scenario-1_test13_801-817;Scenario-1;test13;801-817;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.025495067971456772;0.020130430061960247;0.01087801755658499;0.006116449181579804;0.011458004177726046;0.006334654485285197;-0.009987061058651376;-0.01878757390121513
6;Scenario-1_test14_861-877;Scenario-1;test14;861-877;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.017827564827178843;0.013703707253160644;0.010650416347841904;0.005461311248368444;0.010873549743343208;0.004782551587954939;-0.010192845672919485;-0.0198709446564327
7;Scenario-1_test15_921-938;Scenario-1;test15;921-938;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.024996445186233302;0.020572571605407694;0.011923900157622598;0.006206418377698992;0.00849569244974627;0.0044519530702489245;-0.010640693115535919;-0.015501826509794415
8;Scenario-1_test16_981-996;Scenario-1;test16;981-996;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02937851768955508;0.022913316188342456;0.00982107265112129;0.0054388215703220525;0.009533882560215872;0.0040575755618834025;-0.011233742536315513;-0.015241791104806128
9;Scenario-1_test17_1041-1057;Scenario-1;test17;1041-1057;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02722502242742177;0.021564153099472315;0.010893631719861721;0.005952797058622502;0.01141654092793866;0.006347583454905116;-0.010933919947687987;-0.020914057299164644
10;Scenario-1_test18_1101-1117;Scenario-1;test18;1101-1117;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.023175488749859047;0.01723639211861836;0.01497989538098219;0.006478438829366449;0.008489230128779677;0.004159912137300258;-0.00850775032002501;-0.01274679824229076
11;Scenario-1_test19_1161-1176;Scenario-1;test19;1161-1176;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02423920556872558;0.019289756111221572;0.009759643477868285;0.004721203033903233;0.00716259080739906;0.0034305073444011536;-0.009296174231103434;-0.012018713196405177
12;Scenario-1_test1_81-96;Scenario-1;test1;81-96;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.021605295462864434;0.015674969513939693;0.006960715188638126;0.0037541417843517232;0.006311723716358243;0.0032085044963846834;-0.006330655085224677;-0.009091976259195443
13;Scenario-1_test2_141-158;Scenario-1;test2;141-158;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.013420154582748426;0.008164126993170892;0.0035325988959315283;0.001528204368017908;0.002947621388891134;0.0013136766112503636;-0.002300330471919101;-0.006565864116122078
14;Scenario-1_test3_201-217;Scenario-1;test3;201-217;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.030714116891933547;0.024929073633938086;0.012682323638546577;0.006894242651630384;0.011260481814595812;0.006131637923474913;-0.013744619797750242;-0.02002553520710071
15;Scenario-1_test4_261-277;Scenario-1;test4;261-277;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02167772985854996;0.013857280683034849;0.004114650791812148;0.0023513971164596643;0.006647217681411989;0.003116980787114203;-0.006091100862161384;-0.011576235542549386
16;Scenario-1_test5_321-337;Scenario-1;test5;321-337;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.016653253309664134;0.011235697890165935;0.007834676062871476;0.004128093130788722;0.007003795744426992;0.0034352204799555815;-0.0077656751668849465;-0.012852056814281886
17;Scenario-1_test6_381-397;Scenario-1;test6;381-397;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.020121582748091237;0.012415063884461551;0.004697579465705578;0.0019580651548792415;0.0049427338618979605;0.0023084575701047935;-0.004825937920126137;-0.006220448159024457
18;Scenario-1_test7_441-456;Scenario-1;test7;441-456;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02327715862429536;0.01654038575963039;0.010078364912893243;0.005364946438561048;0.007538240735759392;0.004243370366594344;-0.009407297217366568;-0.012175321368570078
19;Scenario-1_test8_505-518;Scenario-1;test8;505-518;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.023927836305225623;0.020784566422434095;0.012112150335809915;0.006641779351416624;0.010583905885752557;0.004934638423062589;-0.013173316324296804;-0.018895978039587254
20;Scenario-1_test9_561-576;Scenario-1;test9;561-576;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.02506621548797254;0.021180878094804814;0.01620774394958979;0.009002796979870236;0.013268614094013751;0.006908649791902491;-0.016541056546790004;-0.02200738734122158
21;Scenario-2_test0_21-36;Scenario-2;test0;21-36;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.03648530329900645;0.028519532578018043;0.014453545871079554;0.006474320741592392;0.007276646379804198;0.0037732766151565896;-0.0036564855640785487;-0.012380536403843123
22;Scenario-2_test10_621-637;Scenario-2;test10;621-637;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.023084708287346205;0.017602704745470172;0.009392254038684447;0.005401805370370905;0.013204452798211572;0.007014247387607862;-0.013135048752285093;-0.021749826614501765
23;Scenario-2_test11_681-697;Scenario-2;test11;681-697;8.58626678619346;0.15;0.0525630857010352;60;5;500;250;8;0.9-0.09999999999999998;0.024208452702777182;0.018992487779027498;0.01037611361202789;0.006019130091978753;0.011364500091074124;0.005887857627478024;-0.012606305219518575;-0.01666008656300741
