timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;270.00;test0;-E2_0;5.10;0.00;8.91;test;144.90;1.60
1.00;270.00;test0;-E2_0;14.45;0.00;9.35;test;135.55;1.60
2.00;270.00;test0;-E2_0;24.45;0.00;10.00;test;125.55;1.60
3.00;270.00;test0;-E2_0;34.32;0.00;9.87;test;115.68;1.60
4.00;270.00;test0;-E2_0;43.66;0.00;9.34;test;106.34;1.60
5.00;270.00;f2.0;-E2_0;5.10;0.00;7.12;CarA;144.90;1.60
5.00;270.00;test0;-E2_0;48.50;0.00;4.84;test;101.50;1.60
6.00;90.00;f1.0;E0_0;5.10;0.00;0.45;CarA;-44.90;-1.60
6.00;270.00;f2.0;-E2_0;12.94;0.00;7.84;CarA;137.06;1.60
6.00;270.00;test0;-E2_0;48.96;0.00;0.47;test;101.04;1.60
7.00;90.00;f1.0;E0_0;10.35;0.00;5.25;CarA;-39.65;-1.60
7.00;270.00;f2.0;-E2_0;21.74;0.00;8.81;CarA;128.26;1.60
7.00;270.00;test0;-E2_0;48.98;0.00;0.02;test;101.02;1.60
8.00;90.00;f1.0;E0_0;18.93;0.00;8.58;CarA;-31.07;-1.60
8.00;90.00;f1.1;E0_0;5.10;0.00;5.90;CarC;-44.90;-1.60
8.00;270.00;f2.0;-E2_0;31.10;0.00;9.36;CarA;118.90;1.60
8.00;270.00;f2.1;-E2_0;5.10;0.00;0.44;CarB;144.90;1.60
8.00;270.00;test0;-E2_0;48.99;0.00;0.01;test;101.01;1.60
9.00;90.00;f1.0;E0_0;28.83;0.00;9.90;CarA;-21.17;-1.60
9.00;90.00;f1.1;E0_0;12.61;0.00;7.51;CarC;-37.39;-1.60
9.00;90.00;f1.2;E0_0;5.10;0.00;2.48;CarA;-44.90;-1.60
9.00;270.00;f2.0;-E2_0;37.45;0.00;6.36;CarA;112.55;1.60
9.00;270.00;f2.1;-E2_0;8.25;0.00;3.15;CarB;141.75;1.60
9.00;270.00;test0;-E2_0;49.00;0.00;0.01;test;101.00;1.60
10.00;90.00;f1.0;E0_0;38.52;0.00;9.68;CarA;-11.48;-1.60
10.00;90.00;f1.1;E0_0;22.01;0.00;9.40;CarC;-27.99;-1.60
10.00;90.00;f1.2;E0_0;7.14;0.00;2.04;CarA;-42.86;-1.60
10.00;270.00;f2.0;-E2_0;41.42;0.00;3.96;CarA;108.58;1.60
10.00;270.00;f2.1;-E2_0;14.91;0.00;6.65;CarB;135.09;1.60
10.00;270.00;test0;-E2_0;49.00;0.00;0.00;test;101.00;1.60
11.00;90.00;f1.0;E0_0;48.43;0.00;9.91;CarA;-1.57;-1.60
11.00;90.00;f1.1;E0_0;31.45;0.00;9.44;CarC;-18.55;-1.60
11.00;90.00;f1.2;E0_0;14.16;0.00;7.02;CarA;-35.84;-1.60
11.00;270.00;f2.0;-E2_0;42.38;0.00;0.96;CarA;107.62;1.60
11.00;270.00;f2.1;-E2_0;24.37;0.00;9.46;CarB;125.63;1.60
11.00;270.00;test0;-E2_0;49.00;0.00;0.00;test;101.00;1.60
12.00;90.00;f1.0;link_0;6.18;0.00;7.85;CarA;6.18;-1.60
12.00;90.00;f1.1;E0_0;40.30;0.00;8.85;CarC;-9.70;-1.60
12.00;90.00;f1.2;E0_0;20.57;0.00;6.41;CarA;-29.43;-1.60
12.00;270.00;f2.0;-E2_0;42.45;0.00;0.07;CarA;107.55;1.60
12.00;270.00;f2.1;-E2_0;31.54;0.00;7.17;CarB;118.46;1.60
12.00;270.00;test0;-E2_0;49.00;0.00;0.00;test;101.00;1.60
13.00;90.00;f1.0;link_0;16.00;0.00;9.82;CarA;16.00;-1.60
13.00;90.00;f1.1;E0_0;48.06;0.00;7.76;CarC;-1.94;-1.60
13.00;90.00;f1.2;E0_0;27.37;0.00;6.80;CarA;-22.63;-1.60
13.00;270.00;f2.0;-E2_0;42.48;0.00;0.03;CarA;107.52;1.60
13.00;270.00;f2.1;-E2_0;35.71;0.00;4.16;CarB;114.29;1.60
13.00;270.00;test0;-E2_0;49.00;0.00;0.00;test;101.00;1.60
14.00;90.00;f1.0;link_0;25.14;0.00;9.14;CarA;25.14;-1.60
14.00;90.00;f1.1;link_0;7.90;0.00;9.94;CarC;7.90;-1.60
14.00;90.00;f1.2;E0_0;35.36;0.00;7.99;CarA;-14.64;-1.60
14.00;270.00;f2.0;-E2_0;42.49;0.00;0.01;CarA;107.51;1.60
14.00;270.00;f2.1;-E2_0;35.91;0.00;0.20;CarB;114.09;1.60
14.00;270.00;test0;-E2_0;49.00;0.00;0.00;test;101.00;1.60
15.00;90.00;f1.0;link_0;32.79;0.00;7.65;CarA;32.79;-1.60
15.00;90.00;f1.1;link_0;17.59;0.00;9.69;CarC;17.59;-1.60
15.00;90.00;f1.2;E0_0;43.82;0.00;8.46;CarA;-6.18;-1.60
