begin;end;id;id2;sampledSeconds;traveltime;overlapTraveltime;density;laneDensity;occupancy;waitingTime;timeLoss;speed;speedRelative;departed;arrived;entered;left;laneChangedFrom;laneChangedTo
0;2;dump;-E2;1;5,35;5,88;10;10;5;0;0,06;9,35;0,47;2;0;0;0;0;0
0;2;dump;E0;0;;;;;;;;;;1;0;0;0;0;0
2;4;dump;-E2;4;6,37;7,01;40;40;20;0;0,86;7,85;0,39;1;0;0;0;0;0
2;4;dump;E0;3;6,03;6,64;30;30;15;0;0,51;8,29;0,41;1;0;0;0;0;0
4;6;dump;-E2;6;7,76;8,53;60;60;30;0;2,13;6,45;0,32;0;0;0;0;0;0
4;6;dump;E0;5;6,41;7,05;50;50;25;0;1,1;7,8;0,39;1;0;0;0;0;0
6;8;dump;-E2;6;13,06;14,37;60;60;30;1;3,7;3,83;0,19;1;0;0;0;0;0
6;8;dump;E0;6,37;6,84;7,33;63,69;63,69;30,57;0;1,59;7,5;0,38;1;0;0;1;0;0
6;8;dump;link;1,14;10,24;10,76;5,68;5,68;2,19;0;0,03;9,76;0,49;0;0;1;0;0;0
8;10;dump;-E2;8;17,3;19,03;80;80;40;2;5,69;2,89;0,14;0;0;0;0;0;0
8;10;dump;E0;6,26;6,72;7,24;62,58;62,58;29,98;0;1,51;7,6;0,38;1;0;0;1;0;0
8;10;dump;link;3,27;11,3;11,87;16,34;16,34;7,48;0;0,38;8,85;0,44;0;0;1;0;0;0
10;12;dump;-E2;9;23,39;25,73;90;90;45;5;7,52;2,14;0,11;2;0;0;0;0;0
10;12;dump;E0;6,48;7,48;8,03;64,8;64,8;30,91;0;2,15;6,85;0,34;1;0;0;1;0;0
10;12;dump;link;5,1;12,26;12,88;25,51;25,51;12,02;0;0,94;8,16;0,41;0;0;1;0;0;0
12;14;dump;-E2;12;31,54;34,69;120;120;60;6;10,95;1,59;0,08;1;0;0;0;0;0
12;14;dump;E0;6;7,52;8,16;60;60;28,62;0;2,43;6,74;0,34;1;0;0;1;0;0
12;14;dump;link;6,59;11,39;11,96;32,95;32,95;15,66;0;0,8;8,78;0,44;0;0;1;0;0;0
14;16;dump;-E2;14;134,32;147,75;140;140;70;7;13,54;0,37;0,02;0;0;0;0;0;0
14;16;dump;E0;6,05;7,05;7,55;60,5;60,5;28,66;0;2,43;7,28;0,36;1;0;0;1;0;0
14;16;dump;link;8,53;11,52;12,09;42,66;42,66;20,64;0;1,12;8,68;0,43;0;0;1;0;0;0
16;18;dump;-E2;14;471,01;518,11;140;140;70;11;13,87;0,11;0,01;0;0;0;0;0;0
16;18;dump;E0;6;6,41;6,87;60,05;60,05;29,29;0;2,27;8;0,4;1;0;0;1;0;0
16;18;dump;link;10,35;12,44;13,06;51,74;51,74;25,34;0;2,22;8,04;0,4;0;0;1;0;0;0
18;20;dump;-E2;14;3066,21;3372,83;140;140;70;13;13,98;0,02;0;0;0;0;0;0;0
18;20;dump;E0;6,1;7,11;7,68;60,98;60,98;29,81;0;1,78;7,17;0,36;1;0;0;1;0;0
18;20;dump;link;12,22;14,82;15,57;61,09;61,09;30,08;0;4,94;6,75;0,34;0;0;1;0;0;0
20;22;dump;-E2;14;520,88;406,42;140;140;69,84;11;13,81;0,14;0,01;0;0;0;1;0;0
20;22;dump;-link;0,43;86,65;90,98;2,17;2,17;0,05;0;0,38;1,15;0,06;0;0;1;0;0;0
20;22;dump;E0;6,31;8,78;9,38;63,14;63,14;30,45;0;2,74;5,86;0,29;0;0;0;0;0;0
20;22;dump;link;14;18,17;19,08;70;70;34,76;1;7,17;5,5;0,28;0;0;0;0;0;0
22;24;dump;-E2;14;189,8;105,82;140;140;64,97;7;13,27;0,52;0,03;0;0;0;0;0;0
22;24;dump;-link;2;48,6;51,03;10;10;2,42;0;1,59;2,06;0,1;0;0;0;0;0;0
