SimulationFolder;Car Flow;Car Density;Car Speed;Probe Time;Probe Distance;Probe Speed;Number of Visible Cells;Num_total_cells
Scenario-1_test0_21-36;0.058043750000000005;0.0065625;8.844761904761905;16.0;102.18;6.38625;14;40
Scenario-1_test1_81-96;0.27876171875;0.06390625;4.362041564792175;16.0;103.13;6.445625;14;40
Scenario-1_test10_621-637;0.30359218749999994;0.05125;5.923749999999999;16.0;99.34;6.20875;14;40
Scenario-1_test11_686-698;0.34895416666666673;0.07958333333333334;4.38476439790576;12.0;89.92;7.493333333333333;9;30
Scenario-1_test12_741-757;0.29695156250000004;0.03984375;7.452901960784315;16.0;95.14;5.94625;15;40
Scenario-1_test13_801-817;0.30934531249999997;0.07734375;3.9996161616161614;16.0;91.56;5.7225;15;40
Scenario-1_test14_861-877;0.3045015625;0.08390625;3.629068901303538;16.0;98.61000000000001;6.163125000000001;14;40
Scenario-1_test15_921-938;0.3271611111111112;0.08263888888888889;3.9589243697479;18.0;106.5;5.916666666666667;15;45
Scenario-1_test16_981-996;0.31932265625000006;0.08453125;3.7775693160813315;16.0;104.79;6.549375;12;40
Scenario-1_test17_1041-1057;0.29248906249999995;0.08046875;3.634815533980582;16.0;92.71;5.794375;15;40
Scenario-1_test18_1101-1117;0.31181875000000003;0.08203125;3.801219047619048;16.0;95.94999999999999;5.996874999999999;14;40
Scenario-1_test19_1161-1176;0.30422968749999996;0.0803125;3.788073929961089;16.0;103.78;6.48625;12;40
Scenario-1_test2_141-158;0.2910430555555556;0.034861111111111114;8.348645418326694;18.0;108.85000000000001;6.0472222222222225;15;45
Scenario-1_test3_201-217;0.302446875;0.07265625;4.162709677419355;16.0;98.00999999999999;6.125624999999999;14;40
Scenario-1_test4_261-277;0.30329531249999997;0.08609375;3.5228493647912886;16.0;97.03999999999999;6.0649999999999995;15;40
Scenario-1_test5_321-337;0.2925703125;0.04171875;7.012921348314607;16.0;96.61000000000001;6.038125000000001;14;40
Scenario-1_test6_381-397;0.29072031249999997;0.04546875;6.393848797250858;16.0;98.72999999999999;6.170624999999999;14;40
Scenario-1_test7_441-456;0.3320484375;0.055625;5.969410112359551;16.0;101.35;6.334375;14;40
Scenario-1_test8_505-518;0.32539285714285715;0.08142857142857143;3.9960526315789475;14.0;105.02;7.501428571428571;11;35
Scenario-1_test9_561-576;0.260753125;0.07234375;3.6043628509719214;16.0;102.0;6.375;14;40
Scenario-2_test0_21-36;0.3970140625;0.05921875;6.70419525065963;16.0;100.79;6.299375;14;40
Scenario-2_test1_81-97;0.321796875;0.08296875;3.878531073446328;16.0;99.26;6.20375;14;40
Scenario-2_test10_621-637;0.28921406250000004;0.08921875;3.241628721541156;16.0;92.52;5.7825;15;40
Scenario-2_test11_681-697;0.29166640625;0.084375;3.4567870370370373;16.0;93.31;5.831875;15;40
Scenario-2_test12_748-780;0.24054101562499997;0.0415625;5.787453007518796;32.0;98.36;3.07375;10;80
Scenario-2_test13_806-819;0.3239125;0.08125;3.986615384615385;14.0;101.87;7.276428571428572;11;35
Scenario-2_test14_861-876;0.3067789062500001;0.0875;3.5060446428571437;16.0;102.67;6.416875;12;40
Scenario-2_test15_925-938;0.31579999999999997;0.08053571428571428;3.921241685144124;14.0;100.97;7.212142857142857;12;35
