,SCNFolder,space,time,x-1,x,x+1,t+1
0,Scenario-1_test0_21-36,"(20.0, 40.0]","(21.0, 23.0]",0.0,0.0,0.0,0.0
1,Scenario-1_test0_21-36,"(40.0, 60.0]","(21.0, 23.0]",0.0,0.0,0.0,0.0
2,Scenario-1_test0_21-36,"(60.0, 80.0]","(21.0, 23.0]",0.0,0.0,0.0,0.0
3,Scenario-1_test0_21-36,"(20.0, 40.0]","(23.0, 25.0]",0.0,0.0,0.0,0.0
4,Scenario-1_test0_21-36,"(40.0, 60.0]","(23.0, 25.0]",0.0,0.0,0.0,0.0
5,Scenario-1_test0_21-36,"(60.0, 80.0]","(23.0, 25.0]",0.0,0.0,0.0,0.0
6,Scenario-1_test0_21-36,"(20.0, 40.0]","(25.0, 27.0]",0.0,0.0,0.0,0.0
7,Scenario-1_test0_21-36,"(40.0, 60.0]","(25.0, 27.0]",0.0,0.0,0.0,0.0
8,Scenario-1_test0_21-36,"(60.0, 80.0]","(25.0, 27.0]",0.0,0.0,0.0,0.0
9,Scenario-1_test0_21-36,"(20.0, 40.0]","(27.0, 29.0]",0.0,0.0,0.0,0.0
10,Scenario-1_test0_21-36,"(40.0, 60.0]","(27.0, 29.0]",0.0,0.0,0.0,0.0
11,Scenario-1_test0_21-36,"(60.0, 80.0]","(27.0, 29.0]",0.0,0.0,0.0,0.0
12,Scenario-1_test0_21-36,"(20.0, 40.0]","(29.0, 31.0]",0.0,0.0,0.0,0.0
13,Scenario-1_test0_21-36,"(40.0, 60.0]","(29.0, 31.0]",0.0,0.0,0.0,0.0
14,Scenario-1_test0_21-36,"(60.0, 80.0]","(29.0, 31.0]",0.0,0.0,0.0,0.0
15,Scenario-1_test0_21-36,"(20.0, 40.0]","(31.0, 33.0]",0.05,0.0,0.0,0.04375
16,Scenario-1_test0_21-36,"(40.0, 60.0]","(31.0, 33.0]",0.0,0.0,0.0,0.0
17,Scenario-1_test0_21-36,"(60.0, 80.0]","(31.0, 33.0]",0.0,0.0,0.0,0.0
18,Scenario-1_test0_21-36,"(20.0, 40.0]","(33.0, 35.0]",0.05625,0.04375,0.0,0.05
19,Scenario-1_test0_21-36,"(40.0, 60.0]","(33.0, 35.0]",0.04375,0.0,0.0,0.04375
20,Scenario-1_test0_21-36,"(60.0, 80.0]","(33.0, 35.0]",0.0,0.0,0.0,0.0
21,Scenario-1_test1_81-96,"(20.0, 40.0]","(81.0, 83.0]",0.0375,0.06875,0.075,0.05
22,Scenario-1_test1_81-96,"(40.0, 60.0]","(81.0, 83.0]",0.06875,0.075,0.13125,0.1125
23,Scenario-1_test1_81-96,"(60.0, 80.0]","(81.0, 83.0]",0.075,0.13125,0.1,0.1
24,Scenario-1_test1_81-96,"(20.0, 40.0]","(83.0, 85.0]",0.0375,0.05,0.1125,0.05
25,Scenario-1_test1_81-96,"(40.0, 60.0]","(83.0, 85.0]",0.05,0.1125,0.1,0.1125
26,Scenario-1_test1_81-96,"(60.0, 80.0]","(83.0, 85.0]",0.1125,0.1,0.1,0.10625
27,Scenario-1_test1_81-96,"(20.0, 40.0]","(85.0, 87.0]",0.0,0.05,0.1125,0.05
28,Scenario-1_test1_81-96,"(40.0, 60.0]","(85.0, 87.0]",0.05,0.1125,0.10625,0.1
29,Scenario-1_test1_81-96,"(60.0, 80.0]","(85.0, 87.0]",0.1125,0.10625,0.08125,0.1
30,Scenario-1_test1_81-96,"(20.0, 40.0]","(87.0, 89.0]",0.0,0.05,0.1,0.00625
31,Scenario-1_test1_81-96,"(40.0, 60.0]","(87.0, 89.0]",0.05,0.1,0.1,0.10625
32,Scenario-1_test1_81-96,"(60.0, 80.0]","(87.0, 89.0]",0.1,0.1,0.05625,0.0875
