,SCNFolder,space,time,x-1,x,x+1,t+1
0,Scenario-1_test0_21-36,"(40.0, 60.0]","(25.0, 27.0]",0.0,0.0,0.0,0.0
1,Scenario-1_test1_81-96,"(40.0, 60.0]","(85.0, 87.0]",0.049869981833078045,0.1125,0.11384217335058218,0.09776923202268245
2,Scenario-1_test10_621-637,"(40.0, 60.0]","(625.0, 627.0]",0.04585227924038056,0.05,0.0737905271410783,0.05108067554193404
3,Scenario-1_test12_741-757,"(40.0, 60.0]","(745.0, 747.0]",0.0,0.05,0.04297747980058449,0.0
4,Scenario-1_test12_741-757,"(20.0, 40.0]","(749.0, 751.0]",0.03024231656144861,0.0,0.04820206304829847,0.03627130939426913
5,Scenario-1_test13_801-817,"(40.0, 60.0]","(805.0, 807.0]",0.06765899864682003,0.10625,0.1314060446780552,0.1
6,Scenario-1_test13_801-817,"(20.0, 40.0]","(809.0, 811.0]",0.055291167236034035,0.08125,0.1255267640993455,0.08938393839383939
7,Scenario-1_test14_861-877,"(40.0, 60.0]","(865.0, 867.0]",0.07664009809932555,0.11875,0.12831087892952067,0.10114898930033348
8,Scenario-1_test15_921-938,"(40.0, 60.0]","(925.0, 927.0]",0.10064043915827996,0.1,0.12241775057383322,0.1
9,Scenario-1_test15_921-938,"(20.0, 40.0]","(929.0, 931.0]",0.09760382606998196,0.1,0.11895468569941638,0.12093822602717928
10,Scenario-1_test17_1041-1057,"(40.0, 60.0]","(1045.0, 1047.0]",0.0950043543662418,0.1,0.14073357375318848,0.13125
11,Scenario-1_test17_1041-1057,"(20.0, 40.0]","(1049.0, 1051.0]",0.04599198972845563,0.09375,0.1405744810458741,0.11921040636723819
12,Scenario-1_test18_1101-1117,"(40.0, 60.0]","(1105.0, 1107.0]",0.08379037172455818,0.11875,0.12022565430500325,0.10113460383679404
13,Scenario-1_test2_141-158,"(40.0, 60.0]","(145.0, 147.0]",0.04823926676314521,0.0375,0.02940852111899423,0.04375
14,Scenario-1_test2_141-158,"(20.0, 40.0]","(149.0, 151.0]",0.0190358349593109,0.04375,0.04542099585533413,0.012931382849753497
15,Scenario-1_test3_201-217,"(40.0, 60.0]","(205.0, 207.0]",0.058665004491539406,0.1,0.13740308175483365,0.14733200948049452
16,Scenario-1_test4_261-277,"(40.0, 60.0]","(265.0, 267.0]",0.06868426701008802,0.1125,0.11333738109694391,0.1
17,Scenario-1_test4_261-277,"(20.0, 40.0]","(269.0, 271.0]",0.0697498692189952,0.1,0.13068844807467914,0.10374212671359764
18,Scenario-1_test5_321-337,"(40.0, 60.0]","(325.0, 327.0]",0.023220712875885292,0.05,0.054237288135593226,0.018880986846245833
19,Scenario-1_test6_381-397,"(40.0, 60.0]","(385.0, 387.0]",0.024669023928953215,0.0,0.06757327476982852,0.018865551502955605
20,Scenario-1_test7_441-456,"(40.0, 60.0]","(445.0, 447.0]",0.03913434821743044,0.0625,0.06236913618746381,0.06934812760055478
21,Scenario-1_test8_505-518,"(40.0, 60.0]","(507.0, 509.0]",0.12714558169103624,0.13125,0.09014546199549274,0.11508215587238668
22,Scenario-1_test9_561-576,"(40.0, 60.0]","(565.0, 567.0]",0.06503271958704222,0.1,0.15,0.1263902932254803
23,Scenario-2_test0_21-36,"(40.0, 60.0]","(25.0, 27.0]",0.08385105004383127,0.0625,0.08319083052179135,0.0831920135666976
24,Scenario-2_test1_81-97,"(40.0, 60.0]","(85.0, 87.0]",0.07108723984044865,0.1,0.1235493976966862,0.10102604577742699
25,Scenario-2_test10_621-637,"(40.0, 60.0]","(625.0, 627.0]",0.0866400970369087,0.10625,0.15,0.1
26,Scenario-2_test10_621-637,"(20.0, 40.0]","(629.0, 631.0]",0.0740527420084749,0.10625,0.14494916121330975,0.10127607859023698
27,Scenario-2_test11_681-697,"(40.0, 60.0]","(685.0, 687.0]",0.09818360333824254,0.1,0.12735608762098824,0.125
28,Scenario-2_test11_681-697,"(20.0, 40.0]","(689.0, 691.0]",0.08506689351171604,0.1,0.12050426399703375,0.09078846288148613
29,Scenario-2_test12_748-780,"(40.0, 60.0]","(750.0, 752.0]",0.09475218658892129,0.1,0.07139578764852872,0.07123775601068567
30,Scenario-2_test13_806-819,"(40.0, 60.0]","(808.0, 810.0]",0.09020013154185848,0.11875,0.10476190476190479,0.1321680516777082
31,Scenario-2_test15_925-938,"(40.0, 60.0]","(927.0, 929.0]",0.11523290342596285,0.1,0.10233198858604743,0.13854776749165562
32,Scenario-2_test16_981-997,"(40.0, 60.0]","(985.0, 987.0]",0.09398094749882525,0.10625,0.14639502256923262,0.1
33,Scenario-2_test16_981-997,"(20.0, 40.0]","(989.0, 991.0]",0.0942988487682213,0.1,0.14537524986371067,0.09917121201388396
34,Scenario-2_test18_1101-1117,"(40.0, 60.0]","(1105.0, 1107.0]",0.08789116144507718,0.1,0.14741290354282346,0.12164281827203176
35,Scenario-2_test2_141-157,"(40.0, 60.0]","(145.0, 147.0]",0.1105015983266901,0.1,0.1235603018401659,0.1442458450925055
36,Scenario-2_test2_141-157,"(20.0, 40.0]","(149.0, 151.0]",0.1028202115158637,0.1,0.13199979692338934,0.14757424829367274
37,Scenario-2_test3_201-217,"(40.0, 60.0]","(205.0, 207.0]",0.06389193136181087,0.10625,0.13799448022079117,0.1
38,Scenario-2_test3_201-217,"(20.0, 40.0]","(209.0, 211.0]",0.0606139325453522,0.0875,0.13007865693786713,0.09522837805666087
39,Scenario-2_test4_266-279,"(40.0, 60.0]","(268.0, 270.0]",0.10071663761379039,0.13125,0.08209057326583667,0.09305726345175978
40,Scenario-2_test5_321-337,"(40.0, 60.0]","(325.0, 327.0]",0.05281690140845071,0.1125,0.13449367088607594,0.1
41,Scenario-2_test5_321-337,"(20.0, 40.0]","(329.0, 331.0]",0.0638620579548176,0.10625,0.11489173663278833,0.11004504969221775
42,Scenario-2_test7_441-456,"(40.0, 60.0]","(445.0, 447.0]",0.036956280719908356,0.10625,0.11645397641806975,0.09741208559275254
43,Scenario-2_test8_501-516,"(40.0, 60.0]","(505.0, 507.0]",0.09437557850414707,0.1,0.1307583987125327,0.11817808781288469
44,Scenario-2_test9_565-578,"(40.0, 60.0]","(567.0, 569.0]",0.1181427952585358,0.11875,0.08922596475574393,0.13083225669288762
45,Scenario-3_test0_21-36,"(40.0, 60.0]","(25.0, 27.0]",0.04422984777560723,0.0,0.0,0.05189497753920502
46,Scenario-3_test11_829-862,"(20.0, 40.0]","(835.0, 837.0]",0.0,0.0,0.0,0.0
47,Scenario-3_test12_921-936,"(40.0, 60.0]","(925.0, 927.0]",0.06118780832919041,0.125,0.0828920101312457,0.10243113906627616
48,Scenario-3_test13_958-986,"(20.0, 40.0]","(976.0, 978.0]",0.03649901452660778,0.05625,0.0584852324787991,0.04375
49,Scenario-3_test14_1055-1085,"(40.0, 60.0]","(1055.0, 1057.0]",0.0980392156862745,0.0625,0.07567158531971245,0.06826870562534135
50,Scenario-3_test15_1118-1147,"(40.0, 60.0]","(1118.0, 1120.0]",0.0,0.05,0.046319885126684904,0.008484642796538266
51,Scenario-3_test15_1118-1147,"(20.0, 40.0]","(1120.0, 1122.0]",0.03531229309203266,0.01875,0.008484642796538266,0.03308929974769409
52,Scenario-3_test2_174-204,"(40.0, 60.0]","(174.0, 176.0]",0.0,0.0,0.0,0.0
53,Scenario-3_test2_174-204,"(20.0, 40.0]","(180.0, 182.0]",0.05100999795960011,0.0,0.0,0.04375
54,Scenario-3_test2_174-204,"(20.0, 40.0]","(182.0, 184.0]",0.009653441451877593,0.04375,0.0,0.01875
55,Scenario-3_test2_174-204,"(20.0, 40.0]","(184.0, 186.0]",0.057775637939335586,0.01875,0.051413881748071974,0.05
56,Scenario-3_test2_174-204,"(20.0, 40.0]","(186.0, 188.0]",0.05773672055427254,0.05,0.022045855379188704,0.05625
57,Scenario-3_test2_174-204,"(20.0, 40.0]","(188.0, 190.0]",0.04792944785276074,0.05625,0.044221698113207544,0.05625
58,Scenario-3_test2_174-204,"(20.0, 40.0]","(190.0, 192.0]",0.04537410953310041,0.05625,0.03851931743769501,0.04375
59,Scenario-3_test2_174-204,"(20.0, 40.0]","(192.0, 194.0]",0.04516371847948815,0.04375,0.04666355576294914,0.04375
60,Scenario-3_test3_237-265,"(40.0, 60.0]","(237.0, 239.0]",0.0,0.0,0.0,0.0
61,Scenario-3_test3_237-265,"(20.0, 40.0]","(255.0, 257.0]",0.06006231465145087,0.05,0.05617714526473481,0.06875
62,Scenario-3_test4_297-326,"(20.0, 40.0]","(315.0, 317.0]",0.03157936288635376,0.025,0.05294039793532449,0.025
63,Scenario-3_test5_385-398,"(40.0, 60.0]","(387.0, 389.0]",0.0,0.01875,0.038860607002681374,0.0
64,Scenario-3_test7_525-554,"(40.0, 60.0]","(525.0, 527.0]",0.0341741600632222,0.05625,0.05096948202263893,0.03162680371614944
65,Scenario-3_test7_525-554,"(20.0, 40.0]","(527.0, 529.0]",0.0,0.0,0.03162680371614944,0.0
66,Scenario-3_test8_625-638,"(40.0, 60.0]","(627.0, 629.0]",0.06536558035297413,0.15,0.0833886098739695,0.10675709620698316
67,Scenario-3_test9_685-699,"(40.0, 60.0]","(687.0, 689.0]",0.07958219348420793,0.1375,0.09450078144876968,0.125
68,Scenario-3_test9_685-699,"(20.0, 40.0]","(691.0, 693.0]",0.06236236431313702,0.13125,0.09292384890582168,0.13490725126475547
69,Scenario-4_test0_21-36,"(40.0, 60.0]","(25.0, 27.0]",0.08540041147470981,0.0625,0.08110665525165596,0.08264068782480175
70,Scenario-4_test1_88-120,"(20.0, 40.0]","(92.0, 94.0]",0.07500468779298704,0.125,0.07765633190316257,0.11193116233516388
71,Scenario-4_test10_833-866,"(40.0, 60.0]","(833.0, 835.0]",0.0,0.0,0.0,0.0
72,Scenario-4_test10_833-866,"(20.0, 40.0]","(839.0, 841.0]",0.0,0.0,0.0,0.0
73,Scenario-4_test10_833-866,"(20.0, 40.0]","(841.0, 843.0]",0.06804704967434627,0.0,0.0,0.05
